date,time,user_name,text,link,retweet_counts,favorite_counts
2019-03-29,23:48:25,Falko_SG_krbot,스페셜 공모전 참가상에 당선되신 ririko0523님의 작품 입니다. #자동,https://twitter.com/Falko_SG_krbot/status/1111777159155060736,0,0
2019-03-29,23:46:39,wt9ijansr,박병석 “당선무효 확정된 직은 경력 사용 못하도록”,https://twitter.com/wt9ijansr/status/1111776715787780096,0,0
2019-03-29,23:45:27,Beer_aorwn,"대통령을 세 번이나 당선시킨 당이, 지지율이 50%까지 올라갔던 당이, 얼마나 병신 같으면 무능력의 극치 불임정당 따위에게 양보하고서도 개소리를 듣나 #해골찬때문",https://twitter.com/Beer_aorwn/status/1111776413462351873,26,25
2019-03-29,23:39:54,JIMIN10137_,0405 당선 기원,https://twitter.com/JIMIN10137_/status/1111775016117370882,0,0
2019-03-29,23:32:24,kgoqb3tOmabuuOD,양문석 후보님 당선되기를 간절히 기원합니다 통영을 위하여!! 양재춘,https://twitter.com/kgoqb3tOmabuuOD/status/1111773130136010753,0,0
2019-03-29,23:31:58,icunafm,자유당도 안 찍고 민주당 늬들도 안 찍어 근데 내가 찍어도 우리 동네에서는 늬들 당선될 일이 절대 엄서...그거 아니까 여기는 신경도 안쓰는 거겠지만? 작년 지선 때 추미애 하는 꼬라지 보니까 내가 매달 당비 내는 것도 큰 일 하는 거더란,https://twitter.com/icunafm/status/1111773021671317505,0,1
2019-03-29,23:15:00,youmeanhee,"고성 하면 개인적 좋은기억도 많지만 , 열불나는 기억도 공존하는 곳입니다. 좋은기억은 하이면에 위치한 운흥사의 단풍이며 열불나는 기억은 하이면 화력발전소 공사 관련 꽤 많은 돈을 떼인곳 입니다. 김경수 도지사님의 빠른 복귀와 무죄판결! 양문석 후보님의 당선! 기원 합니다. ",https://twitter.com/youmeanhee/status/1111768750590615552,0,8
2019-03-29,23:12:53,hamachee,당선 기념으로 만들었던 향수였다.&gt;,https://twitter.com/hamachee/status/1111768216471138304,0,0
2019-03-29,22:42:55,skruddnjs631,♡진순정후보 당선위하여 아침인사-가음정사거리♡(Live~!!) https://youtu.be/mpo1SfExs8E @YouTube 님이 공유,https://twitter.com/skruddnjs631/status/1111760677142564864,2,1
2019-03-29,22:13:03,cyj0035,당선 되리라 믿습니다,https://twitter.com/cyj0035/status/1111753159339171840,0,0
2019-03-29,21:57:46,5Mt19BjLZbnWSzC,♡진순정후보 당선위하여 아침인사-가음정사거리♡,https://twitter.com/5Mt19BjLZbnWSzC/status/1111749314257117184,0,0
2019-03-29,21:24:22,Kim_Youngsam07,반일의 이야기를 상당하지 않으면 당선 될 수없는 시대였다,https://twitter.com/Kim_Youngsam07/status/1111740907303264257,0,0
2019-03-29,20:50:36,Embracing_youth,첫 날 서버터진 뒤 미루다 이제서야 오사카 스타디움 응모 넣음. 부디 남준이의 마법이 통하기를 내 자리 있길!! 시즈오카는 당선되어도 갈 자신이 없어서 안 넣었는데 괜찮겠지? 머스터도 잘 부탁해 준아 ,https://twitter.com/Embracing_youth/status/1111732410213793792,0,6
2019-03-29,20:27:45,DM_MYANG,"너무너무 이상하다,,왜 그렇게까지 하는걸까.. 진심이 아니라면 걍 적당선만 하지 에바야 인간들",https://twitter.com/DM_MYANG/status/1111726660376625153,0,1
2019-03-29,20:17:00,rx5fgnxvo,표 구걸할땐 언제고 이제와…당선 후 행정대집행이 웬말,https://twitter.com/rx5fgnxvo/status/1111723955939741696,0,0
2019-03-29,20:15:03,2q5StVuTsD4LWqG,"[다음카페] 특수학교 출신들이 아니라면, 결코, 식별못할 일이 아닌 즉, 국민투표로 당선된 정치인들이나, 국가고시로 합격된 공직자들이나, 공히, 나랏일에 맡은 바, 충 http://m.cafe.daum.net/hidden390/dsZJ/1986?svc=cafeapp",https://twitter.com/2q5StVuTsD4LWqG/status/1111723463654273024,0,0
2019-03-29,19:46:39,wkivcji6,영·호남 발전협의회…조충훈 순천시장 회장 '당선',https://twitter.com/wkivcji6/status/1111716319169150976,0,0
2019-03-29,19:00:11,naui191,개판 하나가 도사리는지 도 모를 일이죠..전 박통 당선된 날을 잊지 못합니다..그 허망함..그냥 맘 비울랍니다.,https://twitter.com/naui191/status/1111704622924619776,0,0
2019-03-29,18:28:52,f_jm1o13,"당선률은 낮습니다만,,,,ㅠㅠㅠㅠ",https://twitter.com/f_jm1o13/status/1111696741261148160,0,0
2019-03-29,18:28:41,bigstz9,.서민 '문빠가 박사모와 다른 점' 180625 http://seomin.khan.kr/382 문제는문빠들의숫자가그리많지않다는점이다 전해철이경선에서별로힘도못써보고패배한것 그리고이재명이본선에서압도적인표차로당선된것은 현실에서문빠들의존재감이극히미미하다는걸잘보여준다,https://twitter.com/bigstz9/status/1111696698261143552,0,1
